eval,score,best,p0,p1,p2,p3,p4,p5,p6,p7
0,44.48280791160869,44.48280791160869,0,-1,-1,1,1,0,-1,0
1,44.48280791160869,44.48280791160869,0,-1,-1,1,1,0,-1,0
2,99.58982746549017,99.58982746549017,0,-1,-1,1,1,0,-1,-1
3,99.58982746549017,99.58982746549017,0,-1,-1,1,1,0,-1,-1
4,109.3559143077286,109.3559143077286,-1,-1,-1,1,1,0,-1,-1
5,109.3559143077286,109.3559143077286,-1,-1,-1,1,1,0,-1,-1
6,109.3559143077286,109.3559143077286,-1,-1,-1,1,1,0,-1,-1
7,109.3559143077286,109.3559143077286,-1,-1,-1,1,1,0,-1,-1
8,109.3559143077286,109.3559143077286,-1,-1,-1,1,1,0,-1,-1
9,109.3559143077286,109.3559143077286,-1,-1,-1,1,1,0,-1,-1
10,109.3559143077286,109.3559143077286,-1,-1,-1,1,1,0,-1,-1
11,109.3559143077286,109.3559143077286,-1,-1,-1,1,1,0,-1,-1
12,110.62780543688316,110.62780543688316,-1,-1,-1,0,1,0,-1,-1
13,110.62780543688316,110.62780543688316,-1,-1,-1,0,1,0,-1,-1
14,110.62780543688316,110.62780543688316,-1,-1,-1,0,1,0,-1,-1
15,110.62780543688316,110.62780543688316,-1,-1,-1,0,1,0,-1,-1
16,110.62780543688316,110.62780543688316,-1,-1,-1,0,1,0,-1,-1
17,110.62780543688316,110.62780543688316,-1,-1,-1,0,1,0,-1,-1
18,110.62780543688316,110.62780543688316,-1,-1,-1,0,1,0,-1,-1
19,110.62780543688316,110.62780543688316,-1,-1,-1,0,1,0,-1,-1
20,110.62780543688316,110.62780543688316,-1,-1,-1,0,1,0,-1,-1
21,110.62780543688316,110.62780543688316,-1,-1,-1,0,1,0,-1,-1
22,110.80999485258637,110.80999485258637,-1,-1,-1,-1,1,0,-1,-1
23,110.80999485258637,110.80999485258637,-1,-1,-1,-1,1,0,-1,-1
24,110.80999485258637,110.80999485258637,-1,-1,-1,-1,1,0,-1,-1
25,110.80999485258637,110.80999485258637,-1,-1,-1,-1,1,0,-1,-1
26,110.80999485258637,110.80999485258637,-1,-1,-1,-1,1,0,-1,-1
27,110.80999485258637,110.80999485258637,-1,-1,-1,-1,1,0,-1,-1
28,111.33185644454187,111.33185644454187,-1,-1,0,-1,1,0,-1,-1
29,111.33185644454187,111.33185644454187,-1,-1,0,-1,1,0,-1,-1
30,111.33185644454187,111.33185644454187,-1,-1,0,-1,1,0,-1,-1
31,111.33185644454187,111.33185644454187,-1,-1,0,-1,1,0,-1,-1
32,111.33185644454187,111.33185644454187,-1,-1,0,-1,1,0,-1,-1
33,111.33185644454187,111.33185644454187,-1,-1,0,-1,1,0,-1,-1
34,111.33185644454187,111.33185644454187,-1,-1,0,-1,1,0,-1,-1
35,111.33185644454187,111.33185644454187,-1,-1,0,-1,1,0,-1,-1
36,111.33185644454187,111.33185644454187,-1,-1,0,-1,1,0,-1,-1
37,111.33185644454187,111.33185644454187,-1,-1,0,-1,1,0,-1,-1
38,111.33185644454187,111.33185644454187,-1,-1,0,-1,1,0,-1,-1
39,111.33185644454187,111.33185644454187,-1,-1,0,-1,1,0,-1,-1
40,111.33185644454187,111.33185644454187,-1,-1,0,-1,1,0,-1,-1
41,111.33185644454187,111.33185644454187,-1,-1,0,-1,1,0,-1,-1
42,111.33185644454187,111.33185644454187,-1,-1,0,-1,1,0,-1,-1
43,111.33185644454187,111.33185644454187,-1,-1,0,-1,1,0,-1,-1
44,111.33185644454187,111.33185644454187,-1,-1,0,-1,1,0,-1,-1
45,111.33185644454187,111.33185644454187,-1,-1,0,-1,1,0,-1,-1
46,111.33185644454187,111.33185644454187,-1,-1,0,-1,1,0,-1,-1
47,111.33185644454187,111.33185644454187,-1,-1,0,-1,1,0,-1,-1
48,111.33185644454187,111.33185644454187,-1,-1,0,-1,1,0,-1,-1
49,111.33185644454187,111.33185644454187,-1,-1,0,-1,1,0,-1,-1
50,111.33185644454187,111.33185644454187,-1,-1,0,-1,1,0,-1,-1
51,111.33185644454187,111.33185644454187,-1,-1,0,-1,1,0,-1,-1
52,111.33185644454187,111.33185644454187,-1,-1,0,-1,1,0,-1,-1
53,111.33185644454187,111.33185644454187,-1,-1,0,-1,1,0,-1,-1
54,111.33185644454187,111.33185644454187,-1,-1,0,-1,1,0,-1,-1
55,111.33185644454187,111.33185644454187,-1,-1,0,-1,1,0,-1,-1
56,111.33185644454187,111.33185644454187,-1,-1,0,-1,1,0,-1,-1
57,111.33185644454187,111.33185644454187,-1,-1,0,-1,1,0,-1,-1
58,111.33185644454187,111.33185644454187,-1,-1,0,-1,1,0,-1,-1
59,111.33185644454187,111.33185644454187,-1,-1,0,-1,1,0,-1,-1
60,111.33185644454187,111.33185644454187,-1,-1,0,-1,1,0,-1,-1
61,111.33185644454187,111.33185644454187,-1,-1,0,-1,1,0,-1,-1
62,111.33185644454187,111.33185644454187,-1,-1,0,-1,1,0,-1,-1
63,111.33185644454187,111.33185644454187,-1,-1,0,-1,1,0,-1,-1
64,111.33185644454187,111.33185644454187,-1,-1,0,-1,1,0,-1,-1
65,111.33185644454187,111.33185644454187,-1,-1,0,-1,1,0,-1,-1
66,111.33185644454187,111.33185644454187,-1,-1,0,-1,1,0,-1,-1
67,111.33185644454187,111.33185644454187,-1,-1,0,-1,1,0,-1,-1
68,111.33185644454187,111.33185644454187,-1,-1,0,-1,1,0,-1,-1
69,111.33185644454187,111.33185644454187,-1,-1,0,-1,1,0,-1,-1
70,111.33185644454187,111.33185644454187,-1,-1,0,-1,1,0,-1,-1
71,111.33185644454187,111.33185644454187,-1,-1,0,-1,1,0,-1,-1
72,111.33185644454187,111.33185644454187,-1,-1,0,-1,1,0,-1,-1
73,111.33185644454187,111.33185644454187,-1,-1,0,-1,1,0,-1,-1
74,111.33185644454187,111.33185644454187,-1,-1,0,-1,1,0,-1,-1
75,111.33185644454187,111.33185644454187,-1,-1,0,-1,1,0,-1,-1
76,111.33185644454187,111.33185644454187,-1,-1,0,-1,1,0,-1,-1
