eval,score,best,p0,p1,p2,p3,p4,p5,p6,p7
0,370.52083586452767,370.52083586452767,1,-1,1,0,0,1,0,-1
1,282.6472099865915,370.52083586452767,1,-1,1,0,0,1,0,-1
2,216.59336467081317,370.52083586452767,1,-1,1,0,0,1,0,-1
3,0.0,370.52083586452767,1,-1,1,0,0,1,0,-1
4,57.71317571383038,370.52083586452767,1,-1,1,0,0,1,0,-1
5,39.48846685581806,370.52083586452767,1,-1,1,0,0,1,0,-1
6,0.6251175718007981,370.52083586452767,1,-1,1,0,0,1,0,-1
7,7.4813763246091805,370.52083586452767,1,-1,1,0,0,1,0,-1
8,0.0,370.52083586452767,1,-1,1,0,0,1,0,-1
9,693.3435780279092,693.3435780279092,1,-1,1,0,-1,1,1,-1
10,219.94980133434103,693.3435780279092,1,-1,1,0,-1,1,1,-1
11,103.93957110240986,693.3435780279092,1,-1,1,0,-1,1,1,-1
12,277.18396235351247,693.3435780279092,1,-1,1,0,-1,1,1,-1
13,222.49268249291092,693.3435780279092,1,-1,1,0,-1,1,1,-1
14,48.74202598116897,693.3435780279092,1,-1,1,0,-1,1,1,-1
15,206.95879460703827,693.3435780279092,1,-1,1,0,-1,1,1,-1
16,177.72326874385962,693.3435780279092,1,-1,1,0,-1,1,1,-1
17,716.7775298650255,716.7775298650255,1,0,1,-1,1,1,-1,-1
18,201.58939578734112,716.7775298650255,1,0,1,-1,1,1,-1,-1
19,33.939398965899194,716.7775298650255,1,0,1,-1,1,1,-1,-1
20,180.72712322136562,716.7775298650255,1,0,1,-1,1,1,-1,-1
21,4.519524830328405,716.7775298650255,1,0,1,-1,1,1,-1,-1
22,278.6083182827698,716.7775298650255,1,0,1,-1,1,1,-1,-1
23,47.51178647362569,716.7775298650255,1,0,1,-1,1,1,-1,-1
24,5.72082460350062,716.7775298650255,1,0,1,-1,1,1,-1,-1
25,33.87417760354947,716.7775298650255,1,0,1,-1,1,1,-1,-1
26,264.139345268854,716.7775298650255,1,0,1,-1,1,1,-1,-1
27,80.69186778036823,716.7775298650255,1,0,1,-1,1,1,-1,-1
28,57.841654804548945,716.7775298650255,1,0,1,-1,1,1,-1,-1
29,50.84867965735828,716.7775298650255,1,0,1,-1,1,1,-1,-1
30,82.94433187834257,716.7775298650255,1,0,1,-1,1,1,-1,-1
